"ID_REF"	"GSM3581926"	"GSM3581927"	"GSM3581928"	"GSM3581929"	"GSM3581930"	"GSM3581931"	"GSM3581932"	"GSM3581933"	"GSM3581934"	"GSM3581935"	"GSM3581936"	"GSM3581937"
"ASHGV40054939"	3.8451185	4.0656343	4.281137	3.5591908	3.86727	4.4594727	5.1931667	4.346398	4.0460067	4.4564114	2.8363252	4.4984674
"ASHGV40054940"	14.181732	13.872731	14.699313	14.12337	13.556809	14.063453	13.470318	13.951715	13.828024	14.068645	13.900011	13.327402
"ASHGV40054941"	6.9556637	7.5561037	8.621652	8.173129	8.007697	10.764124	8.455963	8.754812	10.567877	8.433533	8.37038	9.332357
"ASHGV40054942"	10.042662	10.144345	9.864852	9.748599	9.722141	10.589748	10.210569	9.754677	10.113502	9.837571	9.151029	9.839725
"ASHGV40054943"	12.365373	12.507956	12.541107	11.900756	11.533745	13.223715	11.732511	10.967743	12.230997	10.847886	10.577831	11.301802
"ASHGV40054944"	6.2087164	6.115829	6.936567	6.659572	6.3718057	7.417482	7.0341873	6.3562646	7.285978	6.90109	6.805415	7.1603575
"ASHGV40054945"	16.094597	16.473192	16.710648	16.421045	15.763132	16.12473	15.961163	16.081469	16.113749	15.483191	15.715353	16.539106
"ASHGV40054946"	11.583109	12.278889	11.952291	11.879001	11.548279	12.958248	12.123921	11.702128	12.130821	12.002669	11.432991	11.635839
"ASHGV40054947"	5.916002	5.878354	5.7305126	5.934139	5.996774	6.012288	5.686487	5.7792554	5.9271927	5.9986343	5.777807	5.936129
"ASHGV40054948"	6.8814235	6.0443325	6.5256023	4.572335	4.4646416	5.5537686	4.7947187	4.078054	4.985337	4.3970346	4.528901	4.832248
"ASHGV40054949"	5.0632157	4.7381463	4.7663317	4.2384133	4.6716533	5.551399	4.6115575	4.0082245	4.4530525	2.7877612	4.131911	4.4379916
"ASHGV40054951"	17.449339	17.73294	17.665796	18.07492	18.183367	17.785748	18.091507	18.193539	18.007206	18.183367	18.146566	17.99491
"ASHGV40054952"	10.363729	11.185178	10.24045	9.897383	10.557674	11.458544	11.333989	10.53946	11.489939	10.7489395	10.513275	11.048301
"ASHGV40054954"	12.390237	11.9855995	11.878614	11.775742	11.27206	12.517368	12.301845	11.176986	12.020219	11.552111	10.704217	11.322509
"ASHGV40054955"	6.0808353	5.7411737	5.8513236	5.0162535	5.749539	5.306318	5.343563	5.4978256	5.580582	5.4323606	5.5893097	5.1419635
"ASHGV40054956"	8.289602	8.41704	8.5634165	8.887457	8.54557	9.195457	8.815273	8.513669	8.5956335	8.718327	8.665121	8.517875
"ASHGV40054958"	12.41007	12.363962	12.488671	11.325357	11.265445	13.403882	11.749127	11.146056	12.899207	11.496583	11.335254	11.874901
"ASHGV40054960"	10.112734	10.197724	10.092263	10.1522045	10.099926	10.769553	10.193277	10.2366705	10.503614	10.144754	10.021732	10.084588
"ASHGV40054962"	6.3603745	6.554635	6.6046896	6.997228	6.923668	8.2294855	7.9553933	7.576235	8.558876	7.860248	7.1388526	8.331246
"ASHGV40054964"	6.3834195	6.48348	6.393875	6.279016	6.230017	5.687979	6.1579895	6.2800384	4.9807115	5.59066	6.280288	5.6194954
"ASHGV40054965"	4.442314	4.286091	4.6636066	4.217035	4.5041513	5.0214505	4.621005	4.3236785	4.918433	4.6757574	4.8866854	4.728879
"ASHGV40054966"	7.5427628	7.5097237	6.8181715	6.663934	7.62178	6.4840307	6.820169	7.326763	7.6424932	7.599292	7.3727694	7.537876
"ASHGV40054968"	4.448159	3.7757168	4.2948103	4.093484	4.0287204	4.5621114	3.5363283	4.050929	3.0912986	3.3473496	3.150245	2.9235578
"ASHGV40054970"	7.578893	7.475018	7.328453	7.4963427	7.5772743	7.588316	7.6370234	7.378439	7.5634193	7.3697553	7.3787026	7.40263
"ASHGV40054971"	11.378115	12.176468	11.4537325	12.755518	12.584136	14.011543	13.607684	13.184147	14.397447	13.605493	12.412295	14.05984
"ASHGV40054973"	2.768933	5.1635957	2.4563587	4.7278533	4.3343244	4.1647024	4.1506248	4.6545696	2.9616148	2.9642131	3.0621476	3.5064385
